word,translation,definition,example_usage
sawdust,锯末,"Fine particles of wood produced by sawing.
","The carpenter swept up the sawdust from the workshop floor.
"
scald,烫伤,"To burn with hot liquid or steam.
","Carefully remove the potatoes from the boiling water;  I almost scalded my hand!
"
scamper,疾走,"To run quickly and lightly, often playfully.
","The puppies scampered across the lawn, chasing butterflies.
"
scant,少,barely enough or not sufficient.,"The evidence was scant, barely enough to support a conviction.
"
scaremonger,," a person who spreads fear or alarming rumors, often unnecessarily.","The radio host, a notorious scaremonger,  exaggerated the threat of the approaching storm to boost his ratings.
"
scathing,严厉的,"Bitterly and sharply critical; severely harsh.
","The critic's review was a scathing indictment of the film's plot and acting.
"
scatting,散落,"A vocalization technique characterized by improvised, non-lexical syllables sung in a rhythmic and melodic fashion.
","The jazz singer wowed the crowd with her impressive scatting, improvising melodic nonsense syllables.
"
schadenfreude,幸灾乐祸,taking pleasure in someone else's misfortune.,"I felt a pang of schadenfreude when I saw my rival trip and spill their coffee all over their important presentation.
"
schematic,概要,a simplified drawing or diagram that shows the main parts or structure of something,"The engineer reviewed the schematic before starting to build the circuit.
"
schism,分裂,"a division or split between groups, often due to differences in beliefs or opinions.","The schism in the church led to the formation of two separate denominations.
"
schizophrenic,精神分裂症,"A person experiencing this condition suffers from a severely debilitating mental disorder characterized by profound disruptions in thinking, perception, and behavior.  These disruptions can include hallucinations, delusions, disorganized speech, and significantly impaired social functioning.
","The schizophrenic experienced vivid auditory hallucinations.
"
scholastic,经院,"Relating to schools, education, or academics; scholarly.
","Her scholastic achievements earned her a full scholarship.
"
schtick,诡计,"a person's special talent, gimmick, or characteristic behavior, often used in entertainment.","His comedy schtick involved wearing a rubber chicken and making inappropriate puns.
"
sclerotic,硬化的,"rigid, unresponsive, or slow to adapt, often used metaphorically to describe systems, organizations, or processes.","His sclerotic eyes, clouded with age, held a distant, unfocused gaze.
"
scoff,嘲笑,"To mock or jeer at with contempt; to express scornful derision.
","He scoffed at the idea of ghosts, rolling his eyes and muttering about superstition.
"
scold,骂,"To reprimand someone angrily.
","The teacher scolded the student for talking during the test.
"
sconce,壁灯,"A decorative wall-mounted bracket, often holding a light.
","A wrought-iron sconce illuminated the dimly lit hallway.
"
scorn,轻蔑,"To treat with contempt; to reject with disdain.
","She scorned his clumsy attempt at a joke.
"
scot-free,逍遥法外,"escaping without harm, punishment, or consequences.","The embezzler, surprisingly, walked away scot-free.
"
scoundrel,恶棍,"A wicked, deceitful, and unreliable person.
","The scoundrel stole the jewels and fled into the night.
"
scourge,祸害,"a source of great pain, suffering, or trouble, or a person or thing that causes it.","The locusts were a scourge upon the land, destroying all the crops.
"
scrapheap,垃圾堆,"A place where discarded or unwanted things are left to be disposed of.
","After the factory closed, countless machines were relegated to the scrapheap.
"
scrawny,瘦弱的,very thin and bony. It suggests a lack of physical development or nourishment.,"The scrawny kitten, barely bigger than my hand, huddled in the corner.
"
screech,尖叫,"A harsh, high-pitched cry or sound.
","The rusty swing set's chains screeched as the child pumped their legs.
"
screed,熨平板,"A long, typically tedious and critical, diatribe or rant.
","The professor delivered a lengthy screed against the failings of the current education system.
"
screwy,螺旋状,"Odd, strange, eccentric, unconventional, or bizarre.
","The instructions for assembling the bookshelf were totally screwy; I couldn't figure them out.
"
scribe,隶,"A person who writes or copies out documents.
","The ancient scribe meticulously copied the scrolls, preserving the kingdom's history.
"
scrooge,守财奴,"A miserly and unkind person, often associated with Christmas and a transformation to generosity.
","Uncle Monty, a complete Scrooge, refused to give even a penny to the charity drive.
"
scrounge,乞讨,"To obtain (something, especially money or food) by sponging or begging.  To get something by skillful or persistent searching, even if it means cadging or using underhanded methods.
","He had to scrounge around for spare change to buy a bus ticket.
"
scruffy,邋遢的,"untidy, dirty, or messy. It often describes someone's appearance or a place that is not well-kept.","The scruffy dog chased its tail in the park.
"
scrumptious,美味,"Deliciously appealing; extremely pleasing to the taste.
","The chocolate cake was scrumptious.
"
scrunch,揉皱,"To compress or wrinkle something, often with a twisting or crushing action.
","She scrunched her nose in disgust at the smell.
"
scruple,顾忌,a feeling of doubt or hesitation about whether something is morally right or wrong,"The journalist, despite the potential for a lucrative story, had scruples about invading the family's privacy.
"
scrupulous,一丝不苟,"being very careful, thorough, and honest, especially in following rules or ethical principles","The artist was scrupulous in her preparation, meticulously cleaning her brushes before mixing each new color.
"
scrutinize,审议,"To examine something very carefully and in detail, often with a critical eye.
","The detective scrutinized the photograph, searching for any clues that might have been overlooked.
"
scuff,擦伤,"To scrape or rub the surface of something, causing a slight abrasion or mark.
","He scuffed his shoes on the pavement.
"
scuffle,打架,"A short, disorganized fight or struggle.
","A scuffle broke out between two rival fans after the game.
"
scullery,洗碗间,"A small room or area, typically adjacent to a kitchen, used for washing dishes and other kitchen chores.
","The cook tossed the dirty dishes into the scullery.
"
scum,浮渣,"The undesirable or worthless material that forms on the surface of a liquid;  a contemptible or despicable person or group.
","The politician's corrupt dealings labeled him as scum of the earth.
"
scurry,疾走,"To move quickly and hurriedly, often in a flurry of activity, typically in a small, quick steps.
","The mice scurried behind the skirting board when the cat entered the room.
"
scuttlebutt,传言,"gossip or rumors, especially informal or unverified information.","The scuttlebutt had it that the company was about to announce major layoffs.
"
scuttled,凿沉的,"To move quickly and hurriedly, often in a low, furtive manner; or to deliberately sink a ship.
","The sailors scuttled the damaged ship to prevent it from falling into enemy hands.
"
sea dog,海狗 an old or experienced sailor.,"An experienced sailor, often one known for their toughness and resilience.
","Old Captain Pegleg, a weathered sea dog with a mischievous grin, spun tales of his adventures at sea.
"
seclusion,隔离,"A state of being away from other people; solitude; isolation.
","After years of public life, the retired actor found solace in the seclusion of his remote mountain cabin.
"
sectarian,宗派,"Relating to or characteristic of a sect or sects;  marked by narrow, often exclusionary, adherence to a particular religious or political group.
","The sectarian violence between the two religious groups escalated rapidly after the election.
"
secular,世俗,"Not subject to or bound by religious rule; worldly.
","The secular government kept religion separate from its policies.
"
sedate,稳重,"To calm someone down and make them quiet and tranquil, often using medication.
","The doctor gave the anxious patient a sedate to calm her nerves before the surgery.
"
sedative,镇静剂," a substance or medication that calms or soothes, often used to help someone relax or sleep.","The doctor prescribed a sedative to help the anxious patient sleep.
"
sediment,沉淀,"Solid material that settles to the bottom of a liquid.
","The sediment at the bottom of the lake was thick with mud and decaying leaves.
"
sedition,煽动,"crime of inciting people to rebel against the authority of a state or monarch. It often involves speech, writing, or other actions that encourage disobedience or rebellion against the established government.","The politician was arrested for sedition after his fiery speech urging citizens to overthrow the government.
"
seditious,煽动性的,"Conduct or speech inciting people to rebel against the authority of a state or monarch.
","The general's seditious remarks, openly advocating for the overthrow of the government, led to his immediate arrest.
"
seedling,幼苗,"A young plant, recently grown from a seed.
","The gardener carefully transplanted the delicate tomato seedling into its own pot.
"
seedy,破烂的,"Suggestive of disreputable or criminal activity; run-down and neglected; of low moral character.
","The detective entered the seedy bar, its dim lighting and worn furniture hinting at a long history of illicit activities.
"
seep,渗入,"To gradually pass or flow through or into something by penetrating its pores or spaces.
","Rain seeped into the tent, making the sleeping bags damp.
"
seesaw,跷跷板,"A long board balanced in the middle on a pivot, used as a children's toy, with one child sitting at each end.  When one goes up, the other goes down.
","The children played on the seesaw, taking turns going up and down.
"
seethe,沸腾,"filled with intense anger or emotion, often while being unable to express it. It can also mean to boil or bubble up.","He seethed with silent fury, his fists clenched at his sides.
"
segue,继续,"transition smoothly from one topic, idea, or section to another, without interruption or abrupt change.","The band finished their set, and then seamlessly segued into an encore.
"
self aggrandizing,自我夸大,"Promoting oneself excessively, often boastfully or immodestly.  It implies an inflated sense of self-importance and a desire to enhance one's own reputation, sometimes at the expense of others.
","His self-aggrandizing speech at the awards ceremony, filled with boasts about his own accomplishments, left many in the audience unimpressed.
"
semantic quibble,语义狡辩,"An argument focusing on the precise meaning of words rather than the overall meaning or intent, often used to avoid addressing the core issue.
","The debate over whether a tomato is a fruit or a vegetable devolved into a tedious semantic quibble.
"
semantics,语义,"The study of meaning in language, including how words, phrases, and sentences acquire meaning and how that meaning is interpreted.
","The professor explained the **semantics** of the poem, focusing on the implied meanings behind the author's word choices.
"
semblance,外表,"An outward appearance or imitation that may or may not be genuine.  A superficial likeness.
","Despite the chaos, she maintained a semblance of calm.
"
semi recumbent,半卧式,"Partially lying down; reclining at a slight angle.
","He settled into a semi-recumbent position on the chaise lounge, half-sitting, half-lying.
"
seminal,开创性的,"Highly influential and groundbreaking;  original and innovative, often forming a basis for later development in a field.
","Darwin's *On the Origin of Species* is considered a seminal work in biology.
"
senile,衰老,"a decline in mental or physical abilities due to old age, often associated with memory loss, confusion, or diminished cognitive function.","Her senile grandmother often forgot where she put her glasses.
"
sensuous,感性的,"something that is pleasing or appealing to the senses, particularly in a way that is luxurious, indulgent, or stimulating","The sensuous curve of the vase hinted at the artist's skill.
"
sepulchre,坟墓,"A tomb, especially one of stone, for a notable person.
","King Tutankhamun's sepulchre was discovered in the Valley of the Kings.
"
sequest,隔离,"To forcibly remove someone or something, often for a specific purpose like holding them captive or isolating them.  It can also refer to the act of isolating something, like a piece of bone from the rest of the body.
","The police **sequestered** the evidence until the trial.
"
sequester,隔离,isolate or seclude someone or something. It can also mean to confiscate property or assets.,"The jury was sequestered in a hotel for the duration of the trial.
"
sequestered,隔离的,"Isolated and hidden away, often in a secluded or private place.
","The jury was sequestered in a hotel for the duration of the trial.
"
sequestration,隔离,"the act of isolating, removing, or setting something apart, often in a legal or environmental context.","The government's sequestration of funds led to a temporary shutdown of several vital services.
"
sequin,亮片,"A small, shiny disk used for ornamentation, often sewn onto clothing.
","The dancer's costume shimmered under the stage lights, thanks to its thousands of tiny sequins.
"
seraphs,六翼天使,"The highest order of angels in Christian angelology, often depicted as having six wings.
","Ancient tapestries depicted winged seraphs surrounding the throne of God.
"
sermon,讲道,"A religious discourse delivered as part of a worship service.
","The pastor delivered a powerful sermon on the importance of forgiveness.
"
serrated,锯齿状,"Having a jagged edge; like a saw.
","The gardener used a serrated knife to trim the rose bushes.
"
servile,奴性的,"Showing excessive deference or submissiveness.  Behaving in an excessively subservient or fawning manner.
","His servile demeanor toward his boss was evident in his constant nodding and agreement.
"
shambles,一团糟,"A state of total disorder and disarray; a mess.
","After the party, the living room was a shambles.
"
shard,分片,"fragment or broken piece of a brittle substance, such as glass, pottery, or rock. It often refers to a sharp, jagged piece.","A shard of glass pierced his shoe.
"
sheathing,护套,"A protective covering, often made of  a relatively thin material, used to enclose or wrap something else.
","The house's exterior walls needed sheathing before the siding could be installed.
"
shebang,"a matter, operation, or set of circumstances.","It's a character sequence, typically at the beginning of a script, that specifies the interpreter or program used to execute the script.
","The script started with a shebang, `#!/usr/bin/env python`, indicating the interpreter to use.
"
sheepish,羞怯,"Feeling embarrassed or ashamed, typically after having done something wrong or foolish.
","After accidentally spilling his drink on the teacher, he gave a sheepish grin.
"
sherbet,果子露,"A frozen dessert that's similar to ice cream, but typically contains less fat and is more icy in texture, often including fruit juice or other flavorings.
","After a spicy Indian meal, a cool mango sherbet was the perfect palate cleanser.
"
shimmy,摆弄,"To shake or vibrate rhythmically, often with a twisting or shaking motion of the hips and shoulders.
","The dancer shimmied across the stage, her hips swaying rhythmically.
"
shirk,推脱,"avoid or neglect a duty, responsibility, or task, often by doing it in a lazy or dishonest manner.","He tried to **shirk** his responsibilities by pretending to be ill.
"
shoal,浅滩,"A large number of fish swimming together.  It can also refer to a shallow area of water.
","We had to navigate carefully through the shoal of rocks near the shore.
"
shoddy,劣质的,"poorly made or of low quality. It implies something that is cheap, flimsy, or hastily put together.","The contractor used shoddy materials, resulting in a leaky roof.
"
shoestring,鞋带,"A very small amount of money, barely enough to meet the needs of a project or endeavor.
","They started the business on a shoestring budget.
"
shorn,剪了,"""shear,"" meaning to cut off or remove, especially hair, wool, or other natural materials","The sheep were shorn in the spring.
"
shrapnel,弹片,"small pieces of metal or debris that are scattered when an explosive device, like a bomb or shell, detonates","The explosion sent deadly shrapnel flying through the air.
"
shrift,冷漠,"a brief confession, especially in a religious context, or the act of being given absolution after confession. It is often used in the phrase ""short shrift,"" meaning little or no attention or consideration","The condemned man was given little shrift by the judge.
"
shrill,尖锐," a high-pitched, sharp, and often unpleasant sound or voice.","The shrill whistle of the tea kettle announced that the water was boiling.
"
shrouded,笼罩,"covered, concealed, or hidden, often used to describe something that is wrapped in a cloth or obscured from view. It can also refer to something mysterious or unclear","The ancient ruins were shrouded in mist.
"
shrub,灌木,"A low, woody plant with multiple stems branching from the base.
","The gardener pruned the rose shrub.
"
shtick,特殊才能,"a characteristic routine, gimmick, or humorous bit that someone is known for, often in entertainment","His comedy routine relied heavily on his shtick:  a series of exaggerated Yiddish accents and self-deprecating jokes.
"
sibilant,咝咝声,"A consonant sound characterized by a hissing or buzzing sound produced by forcing air through a narrow channel in the vocal tract.
","The sibilant hiss of the snake warned of danger.
"
siding,壁板,"A material used to cover the exterior of a building, often made of wood, vinyl, or metal, to protect it and improve its appearance.; To align oneself with a particular group or opinion.","The house's weathered siding needed a fresh coat of paint.
"
sidle,侧身,"move sideways in a quiet, sneaky, or unobtrusive way, often to avoid drawing attention.","He sidled up to the bar, trying to avoid eye contact with the bouncer.
"
siege,围城,"A prolonged military blockade or attack on a city or fortress, designed to force its surrender by attrition.
","The army laid siege to the castle for months.
"
sill,窗台,"A horizontal, often flat, structural member, typically found beneath a window or door.  It's a supportive element, often made of stone or wood.
","The window sill was covered in a layer of dust.
"
silted,淤积,"Filled or clogged with sediment.
","The once-clear river was silted up, its bed choked with sediment.
"
sine qua non,正弦准,"An absolutely essential condition; something that is indispensable.
","Trust is the sine qua non of any successful business partnership.
"
sinewy,强壮的,"Having a strong, lean, and muscular build; powerfully constructed.
","The sinewy arms of the weightlifter bulged as he lifted the barbell.
"
singe,烧焦,To burn slightly.,"The campfire's heat singed the edges of his marshmallow.
"
siphon,"siphon, distill, distil","A tube used to convey liquid upward from a reservoir and then down to a lower level of its own accord, by maintaining a pressure difference.
","The gardener used a siphon to drain the water from the flooded planter.
"
skedaddle,to leave quickly or hurriedly.,"To leave quickly and hurriedly, often in a panicked or sneaky manner.
","The kids skedaddled from the playground as soon as the sprinklers turned on.
"
skimpy,轻薄,"insufficient, small, or lacking, especially in quantity or coverage. It is often used to describe clothing that covers very little or a portion of something that is meager.","Her skimpy bikini barely covered her.
"
skinflints,小气鬼,"People who are extremely unwilling to spend money;  misers.
","The skinflints refused to tip the waiter, even though the service was excellent.
"
skirmish,小规模冲突,"a brief fight or encounter, especially a minor one between small groups of soldiers. It implies a less serious conflict compared to a full-scale battle.","A small skirmish broke out between the two rival soccer teams after the final whistle.
"
skirt the blacklist,绕过黑名单,refer to any situation where someone tries to avoid being penalized or excluded by finding creative ways to bypass rules or regulations.,"The company, desperate to secure the contract, tried to **skirt the blacklist** by using a shell corporation.
"
skittish,胆怯,"Easily frightened; nervous; jumpy.
","The skittish horse bolted at the sound of thunder.
"
skulk,潜伏,"move stealthily or sneak around, often with the intent to avoid being noticed or to do something secretive or suspicious.","The thieves skulked in the shadows, waiting for the perfect moment to strike.
"
skunkworks,,"a small, independent, and often secretive group within a larger organization that is tasked with developing a specific project.","The company's skunkworks project, hidden away in a separate building, finally produced a revolutionary new battery technology.
"
slain,被杀,slay. kill violently.,"The valiant knight, Sir Gareth, had slain the dragon, freeing the kingdom from its fiery terror.
"
slander,诽谤, making a false spoken statement about someone that damages their reputation,"The politician was sued for slander after falsely accusing his opponent of taking bribes.
"
slapdash,草率,"done quickly and carelessly, without attention to detail or thoroughness.","The slapdash repairs to the roof leaked as soon as it rained.
"
slavish,盲从的,"Characterized by unquestioning obedience and lack of independence or originality.
","His slavish devotion to the company led him to work 70-hour weeks without complaint.
"
sleaze,,"dishonest or immoral behavior, especially by politicians or business people.","The mayor's sleaze-ridden administration was finally brought down by a corruption scandal.
"
sleazy,,disreputable and dishonest.,"The sleazy motel offered a surprisingly comfortable bed, but the stained carpet and questionable clientele made it hard to relax.
"
slew of measures,一系列措施,"A large number or quantity of actions or steps taken to address a problem or achieve a goal.
","In response to the rising crime rate, the city council announced a slew of measures, including increased police patrols, improved street lighting, and community outreach programs.
"
slimeball,,"someone who is disagreeable, dishonest, and untrustworthy","That used-car salesman was a total slimeball; he clearly knew the car was a lemon but still tried to sell it to me.
"
slither,滑行,"To move along a surface with a sinuous, winding motion, typically without legs.
","A snake slithered through the tall grass.
"
slog,"a spell of difficult, tiring work or travelling.","To work hard and persistently at a difficult or tedious task, often making slow progress.
","After a long, hard slog up the mountain, we finally reached the summit.
"
sloganeering,口号,"The creation and use of short, catchy phrases to promote a cause, product, or idea.
","The political campaign relied heavily on sloganeering,  using catchy phrases to appeal to voters.
"
slop,,"A sloppy, watery mixture of food: Often used to describe food that is unpleasant to eat because it is messy, watery, and unappetizing.","The pig eagerly devoured the slop.
"
sloth or cowardice,懶惰或怯懦,"A lack of willingness to act decisively or to face a difficult situation.  It can be from laziness or fear.
","His **cowardice** prevented him from admitting his mistake.
"
slovenliness,懒散," the quality or state of being untidy, dirty, or careless in appearance or habits.","The slovenliness of his apartment was shocking; dirty dishes piled high, clothes strewn everywhere.
"
slovenly,不修边幅,"Characterized by a lack of care, order, or cleanliness.
","His slovenly appearance, with his unbuttoned shirt and stained trousers, made a poor impression on the interviewer.
"
sludge,污泥,"thick, soft, and often viscous mud or any other similar substance.","The factory's wastewater treatment plant produced a thick, foul-smelling sludge.
"
slug,金属块,"A mollusk with a long, soft body, often slimy, that moves slowly.  It's a land-dwelling gastropod, often found in damp environments.
","The gardener found a large, slimy slug on his lettuce leaf.
"
sluicing,泄水,"The rapid, effortless, and often unconscious omission of phrases or clauses in a sentence, resulting in a grammatically incomplete but readily understandable utterance.  It's a type of ellipsis.
","The old pipes were completely clogged, requiring extensive sluicing to clear the blockage.
"
sly,狡猾,"Characterized by cleverness and cunning, especially in a deceitful way.  Often implying a mischievous or secretive nature.
","The sly fox crept closer to the unsuspecting rabbit.
"
smattering,一知半解,"a small, superficial, or introductory knowledge of something","He had only a smattering of French, enough to order a croissant but not to hold a conversation.
"
smelt,冶炼,"To process ore in order to extract a metal.
","The blacksmith smelt the iron ore to create a strong horseshoe.
"
smelter,冶炼厂,"A facility where ore is melted to separate the metal from other elements.
","The copper smelter emitted a plume of acrid smoke.
"
smidge,一点点,"A tiny, insignificant amount.
","There's only a smidge of milk left in the carton.
"
Smoldering,闷烧,"Burning slowly with smoke but no flame.
","The smoldering embers glowed in the darkness.
"
smooch,亲吻,kiss,"After the romantic dinner, they shared a tender smooch under the moonlight.
"
smorgasbord,大杂烩,"A large variety of different things, often foods, offered at the same time and place.
","The holiday buffet offered a veritable smorgasbord of culinary delights.
"
smote,重击,"To strike with a heavy blow; to defeat decisively.
","The warrior smote his enemy with a mighty blow.
"
smugness,自鸣得意,"a feeling or attitude of excessive pride or self-satisfaction, often expressed in a way that annoys others. It's a sense of self-satisfaction that can come across as arrogant or conceited.","The smugness in his grin was unbearable after he'd won the trivia contest.
"
snag,釘子,"A small, unexpected problem or difficulty that causes a delay or disruption.
","I tried to snag the last pastry before anyone else could get it.
"
snappy,活泼的,Quick and energetic; Stylish and fashionable; Irritable or short-tempered,"Her snappy comeback left him speechless.
"
snare,圈套," refer to a situation or trap that causes someone to be caught or trapped, metaphorically.","The hunter set a snare to catch rabbits.
"
snark,魅,"a sharp, sarcastic, or cutting remark, often intended to mock or criticize someone. It can also describe a tone of communication that is rude or disrespectful.","The critic's review was less a thoughtful analysis and more a snark-filled rant against the film.
"
snarky,狡猾的,rudely sarcastic and mocking in tone or manner. It implies a deliberately unkind or hurtful intention.,"""Sarah made a snarky comment about his new haircut.""
"
snarl,咆哮,"To make a low, guttural, aggressive sound, often accompanied by showing teeth.
","The dog snarled at the mailman.
"
sneer,冷笑,"To curl one's lip in contempt or scorn, often with a mocking smile.
","He sneered at her suggestion, a cruel twist of his lips.
"
snicker,窃笑,"laugh in a quiet, disrespectful way, often at something that is meant to be serious or solemn. It's a half-suppressed laugh, often accompanied by a smirk or a raised eyebrow.","A snicker escaped her lips as she watched him trip over the rug.
"
snickers,窃笑,"A brand of chocolate bar containing peanuts, nougat, and caramel, covered in milk chocolate.
","A snickers bar is my favorite candy.
"
snide,冷嘲热讽,"A derogatory remark, usually expressed with false pleasantries or subtle mockery.  It's a kind of backhanded compliment or insult disguised as something innocuous.
","He made a snide remark about her new haircut.
"
snippy,,"short-tempered, irritable, or rude. It implies a tendency to speak sharply or impatiently.","The snippy cashier barely looked up as she handed me my change.
"
snit,,"a state of irritation or annoyance. Someone who is ""in a snit"" is easily angered or upset.","The child threw a snit when his ice cream dropped on the floor.
"
snitch,告密者,"Someone who betrays a confidence or reveals secrets, especially to an authority figure.
","The teacher suspected someone had snitched on the class clown for throwing spitballs.
"
snivel,鼻涕,"To cry or whine in a childish or affected way.
","The child sniveled, wiping his runny nose with the back of his hand.
"
snub,怠慢,insult someone by ignoring them or treating them with contempt. It's a deliberate act of disrespect.,"She snubbed him at the party, pointedly refusing to acknowledge his presence.
"
snubbed nose,鼻子塌下来,"A nose that is short and turned up at the tip.
","The pug, with its characteristic snubbed nose, snored softly on the rug.
"
snuck,偷偷摸摸,sneaked. sneak(past tense),"He snuck out of the house after everyone was asleep.
"
snuff,鼻烟,"To extinguish a flame quickly, often by pinching or pressing.  It can also refer to a powdered form of tobacco, once commonly used in a particular type of container.
","The old woman took a pinch of snuff.
"
snuffle,鼻塞,sniffling or sniffing noisily. having difficulty breathing through their nose,"The puppy snuffled happily at the muddy puddle, before plunging his nose right in.
"
snug,舒适,fitting closely and comfortably.,"The kitten snuggled into its mother's fur for warmth.
"
sodden,烂,"soaked, soggy","The sodden ground squelched underfoot after the days of heavy rain.
"
sojourn,寄宿,a temporary stay or visit somewhere,"After a long sojourn in Europe, she returned home with a renewed appreciation for American culture.
"
solace,慰藉,"Comfort or consolation in a time of distress or sadness.
","After a long day, she found solace in a hot bath and a good book.
"
solemn,庄严,"Characterized by seriousness and a feeling of deep respect and reverence.  Often marked by a quiet, subdued demeanor.
","The solemn ceremony marked the end of a long and difficult war.
"
soliloquy,独白,"A dramatic speech delivered by a character alone on stage, expressing their inner thoughts and feelings aloud.
","Hamlet's famous ""To be or not to be"" speech is a classic example of a soliloquy.
"
somersaulted,翻筋斗,"Turned over in the air, often in a twisting or spinning motion.
","The gymnast somersaulted gracefully across the mat.
"
sonorous,洪亮,"producing sound, especially a deep, rich sound. It's often used to describe a voice that is full and resonant, or a sound that is deep and reverberating.","The sonorous chimes of the grandfather clock echoed through the silent hall.
"
soot,煤烟,"A black powdery or flaky substance produced by the incomplete burning of organic matter.
","Soot stained the chimney brick a dark, greasy black.
"
sorcerer,巫师,"A person who practices magic, often for malevolent purposes, and typically with implied supernatural power.
","The sorcerer cast a spell, summoning a fiery dragon.
"
sorcery,巫術,"The practice of magic, especially black magic;  the use of supernatural powers to control events or people.
","The villagers whispered of the old woman's sorcery, claiming her potent herbs held unnatural power.
"
sordid,污秽,"morally dirty, dishonorable, or unpleasant, often involving corruption or selfishness.","The newspaper detailed the sordid affair between the politician and his campaign manager.
"
sound out,试探,To test someone's opinions or reactions,"The teacher patiently helped the student sound out the difficult word.
"
sourpuss,脾气暴躁,a person who is habitually sullen and bad-tempered.,"After losing the game, little Timmy sat in the corner like a sourpuss.
"
spangled,闪闪发光的,"Covered with small, glittering ornaments.
","The child wore a spangled dress to the party.
"
spangling,闪亮,"to decorate or cover with spangles, which are small, shiny pieces of metal or plastic used for ornamentation","The Christmas tree, heavy with ornaments, glittered with spangling lights.
"
spanner,扳手,"A tool used to tighten or loosen nuts and bolts.
","The mechanic used a spanner to tighten the nut on the wheel.
"
sparingly,保守地,something in small amounts or with restraint.,"Due to the drought, the gardener used water sparingly.
"
sparring,"engage in argument, typically of a kind that is prolonged or repeated but not violent.","A practice session involving simulated combat, often used in training for a competitive activity.  It's characterized by controlled aggression and the focus is on technique and improvement, not necessarily winning.
","The boxers engaged in some light sparring before the main event.
"
spate,一连串,"A sudden, large occurrence of something, especially an unwelcome one.
","After the heavy rains, a spate of flooding hit the low-lying areas.
"
spawn,产卵,"produce or release eggs or offspring.; To produce or create something, especially in large amounts or as a result of something.","The queen bee spawned hundreds of worker bees.
"
spazzy,Negative Connotations:,"offensive term used to describe someone who behaves in a strange, uncontrolled, or erratic way","After pulling an all-nighter, he was feeling totally spazzy and kept dropping things.
"
specter,幽灵,"A ghost or phantom; something that haunts or unsettles.  It can also refer to a threatening or frightening possibility.
","The specter of famine haunted the drought-stricken region.
"
speculoos,窥探者,"A thin, crisp, spiced biscuit, often buttery and caramelly, traditionally eaten in the Netherlands and Belgium, particularly around the holiday season.  They are sometimes used as a base for desserts.
","The café offered a delicious speculoos latte, spiced with the warm, cinnamon-like flavor of the traditional biscuits.
"
spellbinding,引人入胜,"So captivating and fascinating that it holds your attention completely.
","The magician's spellbinding performance left the audience speechless.
"
spellbound,着迷,"Completely captivated;  held firmly by a magical force or intense fascination.
","The audience was spellbound by the magician's incredible illusions.
"
spendthrift,败家子,"Someone who carelessly squanders money.
","Despite inheriting a fortune, his spendthrift habits left him broke within a year.
"
spew,喷出,"expel or discharge (something) in a sudden, forceful, and uncontrolled manner","The volcano spewed ash and lava across the landscape.
"
spewed forth,喷出,"Ejected forcefully and in large quantities.
","Lava spewed forth from the volcano, engulfing the nearby village.
"
sphinxlike,"mysterious, enigmatic, and difficult to understand","Someone who is sphinx-like is often quiet, reserved, and seems to be hiding their true thoughts or intentions. They may have a mysterious or aloof demeanor.","The sphinxlike silence of the witness only deepened the mystery surrounding the crime.
"
spiffy,漂亮的," neat, stylish, or attractive in appearance. It is often used to describe someone or something that looks particularly well-groomed or fashionable.","He wore a spiffy new suit to the job interview.
"
splat,摔得痛,"a soft, squishy sound made when something hits a surface forcefully, often resulting in a mess or spread-out shape. It is also used to describe the result of something falling or striking something in a messy way.","The overripe tomato splatted on the pavement.
"
splay,展开,"to spread out or fan something, often used to describe limbs, fingers, or objects that are spread apart or positioned at an angle.","He splayed his fingers across the piano keys.
"
spleen,脾,"An organ in the body that helps filter blood and fight infections; A feeling of anger, bitterness, or resentment.","The doctor discovered a tumor on the patient's spleen.
"
splice,拼接,"join or connect two things, especially pieces of rope, film, or wire, by intertwining or overlapping them.","The film editor carefully spliced together the two scenes.
"
spoof,欺骗, imitate someone or something in a humorous or satirical way.,"The comedian delivered a hilarious spoof of a popular action movie.
"
sporadically,偶尔,"Occurring at irregular intervals; in a scattered or intermittent manner.
","The old lighthouse keeper sporadically checked the lamp, his visits becoming less frequent with age.
"
spout,喷口,"To expel something, typically liquid, with force from a narrow opening.
","Lava spouted from the volcano.
"
springy,有弹性,"Having a tendency to bounce back or return to its original shape after being stretched, compressed, or bent.
","The springy mattress bounced back after I sat on it.
"
spritely,兴致," lively, energetic, and full of spirit or enthusiasm, often used to describe a person or their movements.","The spritely dancer captivated the audience with her energetic leaps and turns.
"
spurious,伪," false, not genuine, or lacking authenticity. ","The scientist dismissed the spurious correlation between ice cream sales and crime rates, pointing out that both increased during the summer months.
"
spurned,唾弃,"Rejected; dismissed with contempt.
","He spurned her offer of help, preferring to struggle alone.
"
sputter,溅射,"To make a series of short, explosive sounds, often due to  inconsistent or interrupted release of something, like fuel or speech.
","The old car sputtered to a stop, coughing out a plume of black smoke.
"
squalid,肮脏,"extremely dirty and unpleasant, often as a result of poverty or neglect. It implies a state of filth and degradation.","The squalid apartment building was riddled with vermin and lacked basic plumbing.
"
squalor,肮脏,"A state of being extremely dirty and unpleasant, typically associated with poverty.
","The abandoned building stood as a monument to squalor, its broken windows and rotting timbers testament to years of neglect.
"
squeamish,过于拘谨的,"someone who is easily upset, disturbed, or disgusted by unpleasant sights, sounds, or situations, especially related to things like blood or gore.","He was too squeamish to watch the surgery.
"
